Content,Score,Category
fwiw questing route,0.13,Green
equipping bridge,0.13,Green
mb party,0.10,Green
lfg chasing top,0.12,Green
reviving scoreboard,0.12,Green
fed payload,0.13,Green
thx harassing top,0.12,Green
boosting scoreboard,0.13,Green
need lobby,0.13,Green
sus dodging cache,0.13,Green
gj disengaging nerf,0.12,Green
inhouse comms,0.12,Green
wtb,0.13,Green
rofl scouting binds,0.10,Green
ok questing inventory,0.12,Green
aiming cart,0.12,Green
tilt baiting site,0.10,Green
pve payload,0.12,Green
smh trading bridge,0.13,Green
patrolling trio,0.10,Green
close sieging round,0.13,Green
fed spawning chokepoint,0.12,Green
leashing carry,0.10,Green
reloading cooldowns,0.12,Green
lfp healing backpack,0.10,Green
pve escaping nerf,0.10,Green
wp inventory,0.12,Green
standby selling mic,0.12,Green
tbf energy,0.12,Green
idk flag,0.12,Green
kk focusing nexus,0.10,Green
omw camping health,0.13,Green
here lobby,0.12,Green
meta crashing spawn,0.13,Green
noted deaths,0.13,Green
l route,0.10,Green
peeking account,0.13,Green
done reviving route,0.13,Green
tourney chasing cache,0.12,Green
wts backing zone,0.13,Green
tourney lagging inventory,0.13,Green
ofc harassing match,0.10,Green
req patrolling alt,0.10,Green
draft spawning throne,0.10,Green
wait sweeping bridge,0.13,Green
fed tracking main,0.10,Green
roger queueing flag,0.12,Green
rip harassing fountain,0.12,Green
smh sprinting loadout,0.10,Green
deadass,0.12,Green
lol planting chokepoint,0.13,Green
rofl drop chest,0.12,Green
wtb saving extract,0.10,Green
done flanking bot,0.12,Green
inc laning radar,0.12,Green
np checking respawn,0.10,Green
customs rotating inventory,0.12,Green
based scouting comms,0.12,Green
bro lagging trio,0.12,Green
rq tracking health,0.13,Green
soon ping,0.13,Green
cya dueling corner,0.10,Green
rn sliding mic,0.13,Green
league peeling health,0.13,Green
omg guild,0.12,Green
yolo grinding base,0.10,Green
jk tower,0.10,Green
wdym splitpushing pit,0.12,Green
here,0.12,Green
mood pinging flank,0.10,Green
oom drop base,0.10,Green
based crashing binds,0.10,Green
inc zone,0.13,Green
omw boosting payload,0.12,Green
afk planting alt,0.10,Green
wp push inventory,0.10,Green
hype fps,0.13,Green
mmr questing kills,0.12,Green
ranked holding energy,0.10,Green
f freezing buff,0.10,Green
wtb base,0.12,Green
fed dueling voice,0.10,Green
dc rushing round,0.13,Green
diving round,0.10,Green
wya site,0.10,Green
obv invading base,0.12,Green
rez trading fountain,0.10,Green
dc holding adds,0.10,Green
hf throne,0.13,Green
casual shop,0.10,Green
pog freezing flag,0.12,Green
nt capping nerf,0.13,Green
leaving trio,0.10,Green
vaulting zone,0.13,Green
ttyl backdooring spawn,0.10,Green
escorting gold,0.13,Green
rn neutralizing armor,0.12,Green
buying energy,0.13,Green
aram energy,0.12,Green
dced questing creeps,0.12,Green
here anchoring duo,0.12,Green
ggs tracking binds,0.12,Green
bruh spawning meter,0.10,Green
gg streaming creeps,0.12,Green
omg dodging tower,0.13,Green
crashing tunnel,0.10,Green
pve rushing energy,0.13,Green
chill escorting tunnel,0.13,Green
brb backpack,0.12,Green
tourney tracking binds,0.10,Green
wts focusing turret,0.12,Green
ama ulting bombsite,0.12,Green
saving mid,0.13,Green
yolo stats,0.12,Green
noted crashing adds,0.13,Green
stacking fountain,0.13,Green
ez sieging throne,0.12,Green
yolo rotating main,0.10,Green
close peeking round,0.12,Green
reporting route,0.13,Green
bg guild,0.10,Green
ama loadout,0.12,Green
bruh reloading round,0.13,Green
gj reviving discord,0.10,Green
hype pinging payload,0.10,Green
bg warping gold,0.10,Green
ok need nexus,0.12,Green
tbh neutralizing fps,0.10,Green
lfp joining flag,0.12,Green
countering alt,0.10,Green
yep need base,0.12,Green
fed focusing radar,0.13,Green
lagging crate,0.10,Green
og resetting chest,0.13,Green
based mats,0.12,Green
rip scouting angle,0.10,Green
customs selling gold,0.12,Green
defend trio,0.12,Green
customs spraying cart,0.12,Green
dc queueing creeps,0.13,Green
crashing backpack,0.12,Green
warding spawn,0.12,Green
buying buff,0.12,Green
throwing lane,0.10,Green
mia dueling mats,0.13,Green
gl jungling radar,0.13,Green
wow settings,0.10,Green
ig streaming main,0.12,Green
gm throwing turret,0.10,Green
snowballing pit,0.12,Green
ulting account,0.10,Green
hold grinding minions,0.10,Green
jungling chokepoint,0.12,Green
hf loadout,0.10,Green
w respawn,0.10,Green
soon laning lane,0.13,Green
hype leaving route,0.10,Green
lol,0.12,Green
dueling sentry,0.13,Green
cap kiting route,0.13,Green
deadass zone,0.13,Green
k spectating spawn,0.12,Green
rip raiding party,0.13,Green
mb saving mats,0.10,Green
here spectating minions,0.13,Green
close rushing main,0.12,Green
nt poking nerf,0.10,Green
meta contesting pit,0.13,Green
chasing streak,0.13,Green
ok round,0.13,Green
hype streaming queue,0.12,Green
gz map,0.10,Green
lfp pinging point,0.10,Green
hp kiting corner,0.10,Green
freezing pit,0.13,Green
nah assaulting mana,0.13,Green
reporting crystal,0.10,Green
bruh route,0.13,Green
tourney chasing energy,0.12,Green
engaging loadout,0.12,Green
omg planting pit,0.13,Green
laning radar,0.10,Green
checking round,0.10,Green
mood spawning crystal,0.13,Green
pub boosting map,0.10,Green
escaping crate,0.12,Green
omw scouting shields,0.10,Green
ggs crafting backpack,0.10,Green
queueing carry,0.12,Green
aram buying voice,0.13,Green
bruh swapping route,0.13,Green
eta focusing wall,0.12,Green
valid spraying nerf,0.12,Green
defend top,0.12,Green
trading mats,0.12,Green
valid crouching chest,0.10,Green
inc sieging leaderboard,0.10,Green
deadass capping match,0.12,Green
ig fountain,0.12,Green
nah laning boss,0.10,Green
sec escaping flag,0.10,Green
omg ulting crate,0.10,Green
irl joining discord,0.13,Green
tbh streaming stream,0.13,Green
thx resetting bridge,0.10,Green
customs looting smurf,0.10,Green
tilt defend round,0.10,Green
nvm flanking site,0.10,Green
afaik laning duo,0.12,Green
inc xp,0.13,Green
lfg push party,0.10,Green
lowkey buying cart,0.12,Green
lfg throwing duo,0.12,Green
ama disengaging meter,0.12,Green
idc lobby,0.13,Green
cap spectating xp,0.12,Green
wb baiting shields,0.12,Green
omw kiting guild,0.12,Green
sec comms,0.10,Green
omw crashing stats,0.13,Green
lfg joining pit,0.13,Green
countering angle,0.12,Green
league poking adds,0.12,Green
nvm vaulting health,0.13,Green
wait saving lane,0.12,Green
ganking party,0.13,Green
yw base,0.12,Green
og camping point,0.12,Green
tmr pinging kills,0.12,Green
pub cart,0.10,Green
hp staggering ult,0.12,Green
afk escorting top,0.12,Green
meta sliding aggro,0.10,Green
mia streak,0.10,Green
draft stats,0.12,Green
meh smurfing alt,0.10,Green
lfg throwing queue,0.12,Green
ty warping lag,0.12,Green
ff round,0.12,Green
sus peeling corner,0.12,Green
roger aggro,0.10,Green
rofl pinging shields,0.10,Green
wait crystal,0.13,Green
op need pit,0.12,Green
ig kiting dps,0.10,Green
tilt backdooring radar,0.12,Green
hf,0.12,Green
covering minions,0.12,Green
jk stacking inventory,0.12,Green
fr focusing ammo,0.12,Green
gm rotating extract,0.10,Green
copy heals,0.12,Green
gratz scouting heals,0.10,Green
cya pulling tunnel,0.13,Green
fwiw backing gold,0.12,Green
inhouse muting scoreboard,0.12,Green
chasing mid,0.13,Green
f equipping chest,0.10,Green
dc streak,0.13,Green
aoe,0.10,Green
countering smurf,0.13,Green
diff rushing stream,0.12,Green
bg camping armor,0.12,Green
rez meter,0.10,Green
xd vaulting lane,0.12,Green
nah boosting duo,0.10,Green
aram leashing turret,0.13,Green
ranked crystal,0.10,Green
eta streaming tank,0.12,Green
yolo reloading tank,0.10,Green
splitpushing base,0.10,Green
lowkey ambushing nexus,0.10,Green
capping vault,0.12,Green
aoe heals,0.12,Green
here raiding point,0.12,Green
op ulting loadout,0.12,Green
glhf carrying buff,0.10,Green
spraying tunnel,0.10,Green
chill aiming loot,0.10,Green
roaming mats,0.12,Green
ty spectating bot,0.10,Green
f reporting rank,0.10,Green
obv lagging cart,0.13,Green
ty splitpushing xp,0.10,Green
inc backing mats,0.13,Green
poking respawn,0.10,Green
idc stream,0.10,Green
rq focusing mic,0.12,Green
valid lagging trio,0.12,Green
rq vaulting respawn,0.13,Green
cc rotating minimap,0.10,Green
scrim roaming deaths,0.12,Green
nbd trading stream,0.13,Green
defusing cache,0.13,Green
gm crashing perimeter,0.10,Green
gg minions,0.13,Green
eta leashing binds,0.13,Green
deadass mic,0.10,Green
hf map,0.13,Green
league leaderboard,0.13,Green
based peeking top,0.10,Green
holding fps,0.10,Green
hold vault,0.12,Green
wdym escorting smurf,0.12,Green
spawning gold,0.10,Green
standby cart,0.10,Green
og freezing vault,0.13,Green
reloading aggro,0.12,Green
spawning backpack,0.10,Green
cap,0.10,Green
gtg rotating meter,0.10,Green
nbd resetting armor,0.12,Green
afk capping streak,0.12,Green
obv carrying lag,0.12,Green
inc questing radar,0.13,Green
sec neutralizing shields,0.10,Green
crashing mic,0.12,Green
noted crystal,0.12,Green
lowkey ganking squad,0.10,Green
crashing site,0.10,Green
valid radar,0.13,Green
bbs crouching carry,0.13,Green
customs shop,0.10,Green
sliding crystal,0.12,Green
oof trading heals,0.13,Green
holding meter,0.12,Green
ttyl saving bridge,0.12,Green
here splitpushing adds,0.10,Green
grinding top,0.12,Green
kk chasing barracks,0.12,Green
surrendering xp,0.13,Green
gm engaging loot,0.12,Green
ready carrying ping,0.12,Green
gj neutralizing stats,0.13,Green
dueling radar,0.12,Green
dc spawning top,0.12,Green
wp scouting flank,0.12,Green
ty reviving health,0.13,Green
pve perimeter,0.10,Green
rip vaulting kills,0.13,Green
f duo,0.13,Green
flanking choke,0.10,Green
rng escaping health,0.12,Green
tracking tank,0.10,Green
snowballing energy,0.10,Green
wts chasing throne,0.13,Green
yw freezing trio,0.12,Green
kek lag,0.13,Green
nvm support,0.13,Green
zoning throne,0.12,Green
smh anchoring nerf,0.10,Green
pinging lag,0.13,Green
ulting bombsite,0.10,Green
hp escaping account,0.13,Green
dodging cache,0.12,Green
lul rank,0.13,Green
clear escaping cooldowns,0.13,Green
jk defend mic,0.12,Green
questing core,0.13,Green
iirc rushing zone,0.12,Green
diff saving spawn,0.13,Green
imo trading creeps,0.10,Green
tmr shop,0.12,Green
omg camping vault,0.12,Green
ttyl creeps,0.12,Green
tbf grinding kills,0.13,Green
mood jungle,0.12,Green
lul spectating route,0.10,Green
tourney crashing carry,0.12,Green
gm drop crate,0.13,Green
rn sweeping main,0.13,Green
k rotating top,0.10,Green
wts crafting tunnel,0.13,Green
ttyl backing rank,0.10,Green
focusing top,0.10,Green
wtt zoning gold,0.12,Green
nope health,0.10,Green
aram raiding zone,0.12,Green
copy rank,0.12,Green
pvp selling binds,0.13,Green
saving choke,0.10,Green
smh lagging ammo,0.13,Green
stomp defusing deaths,0.12,Green
yw choke,0.13,Green
league capping tower,0.12,Green
aram bridge,0.13,Green
bro trading buff,0.12,Green
ig diving bombsite,0.13,Green
og map,0.13,Green
meh invading mana,0.12,Green
gl warping voice,0.10,Green
w assists,0.12,Green
tbh defend aggro,0.10,Green
k round,0.13,Green
mia farming rank,0.12,Green
gratz contesting settings,0.12,Green
dm cooldowns,0.10,Green
spawning heals,0.12,Green
sliding route,0.13,Green
diff dueling kills,0.10,Green
tbf harassing main,0.10,Green
bbs meter,0.12,Green
gm surrendering main,0.13,Green
leashing respawn,0.12,Green
oom splitpushing duo,0.12,Green
ofc anchoring payload,0.10,Green
oom vault,0.12,Green
cc laning flank,0.12,Green
deadass rushing base,0.13,Green
aoe account,0.12,Green
l trio,0.12,Green
mia ult,0.10,Green
cc carrying discord,0.12,Green
oof loot,0.13,Green
imho stacking nerf,0.12,Green
copy flank,0.13,Green
soon sieging main,0.12,Green
xd swapping point,0.12,Green
ama sliding cooldowns,0.10,Green
bg sentry,0.13,Green
healing bot,0.13,Green
smh crafting boss,0.10,Green
bruh pinging site,0.12,Green
hp throne,0.10,Green
smurfing mid,0.12,Green
ganking minions,0.12,Green
tourney holding bot,0.12,Green
gn warding minions,0.12,Green
disengaging site,0.12,Green
heard,0.12,Green
flanking point,0.13,Green
here staggering corner,0.10,Green
resetting mid,0.13,Green
pub defend carry,0.13,Green
nope sniping cache,0.10,Green
boosting tunnel,0.13,Green
inc freezing fountain,0.13,Green
cc farming base,0.10,Green
oom swapping aggro,0.10,Green
gl loot,0.10,Green
rofl ganking lobby,0.13,Green
xd laning comms,0.10,Green
sniping core,0.13,Green
mood diving leaderboard,0.13,Green
pve spectating bridge,0.10,Green
nt poking scoreboard,0.10,Green
rq,0.10,Green
trading map,0.12,Green
w surrendering nexus,0.12,Green
iirc sieging perimeter,0.13,Green
w rotating smurf,0.13,Green
omg sprinting discord,0.12,Green
xd peeking stream,0.10,Green
tourney crouching heals,0.13,Green
oom selling smurf,0.10,Green
op sieging backpack,0.12,Green
wb vaulting pit,0.10,Green
rotating support,0.12,Green
chill holding match,0.10,Green
ttyl streaming lag,0.13,Green
ig rotating barracks,0.10,Green
pub bombsite,0.13,Green
wow aiming ult,0.13,Green
nope holding vault,0.10,Green
wait ammo,0.12,Green
elo backdooring lane,0.10,Green
bet diving party,0.10,Green
gratz lagging barracks,0.10,Green
customs ulting kills,0.13,Green
eta heals,0.13,Green
gg rotating leaderboard,0.10,Green
nt meter,0.10,Green
fed dueling dps,0.13,Green
omg throwing kills,0.13,Green
wts heals,0.13,Green
stacking guild,0.13,Green
buying radar,0.12,Green
eta holding boss,0.10,Green
mood scoreboard,0.13,Green
splitpushing clan,0.10,Green
gz farming stamina,0.13,Green
rushing zone,0.10,Green
meh drop angle,0.12,Green
ig baiting site,0.12,Green
rushing sentry,0.10,Green
wtt shop,0.10,Green
brb swapping throne,0.10,Green
ama lagging chest,0.10,Green
elo spawning core,0.13,Green
equipping cart,0.12,Green
w push point,0.10,Green
peeking gold,0.12,Green
chasing crystal,0.12,Green
valid leaving crystal,0.12,Green
gj equipping top,0.12,Green
ama crouching trio,0.12,Green
obv vaulting match,0.12,Green
nvm pinging rank,0.13,Green
fr corner,0.10,Green
ty ganking stamina,0.12,Green
diving point,0.10,Green
ulting nerf,0.12,Green
league peeling loot,0.10,Green
mb lag,0.12,Green
spraying clan,0.10,Green
iirc queueing energy,0.10,Green
kek splitpushing barracks,0.12,Green
w stamina,0.12,Green
backing deaths,0.10,Green
oom healing round,0.13,Green
obv crouching site,0.12,Green
meta tunnel,0.12,Green
tbh covering carry,0.12,Green
close selling round,0.10,Green
poggers engaging scoreboard,0.12,Green
brb need health,0.12,Green
noted scouting barracks,0.10,Green
ganking kills,0.12,Green
bet pulling mic,0.13,Green
facts looting base,0.12,Green
patrolling fountain,0.10,Green
staggering turret,0.12,Green
w reloading barracks,0.12,Green
spraying ping,0.12,Green
oom pulling party,0.12,Green
pog vault,0.10,Green
push queue,0.13,Green
lowkey escaping backpack,0.10,Green
obv cart,0.10,Green
nvm countering gold,0.10,Green
diff crouching spawn,0.12,Green
throwing loot,0.10,Green
tourney angle,0.13,Green
ff baiting lag,0.10,Green
w saving stats,0.13,Green
obv ambushing cart,0.13,Green
irl escorting angle,0.10,Green
l radar,0.10,Green
lul,0.12,Green
ez ping,0.10,Green
pvp backdooring stats,0.13,Green
rofl ammo,0.10,Green
wow,0.12,Green
nvm comms,0.13,Green
done buying support,0.13,Green
idk lag,0.12,Green
yep backdooring health,0.13,Green
ready wall,0.10,Green
facts sieging backpack,0.13,Green
bro top,0.12,Green
heard sweeping objective,0.12,Green
based need discord,0.10,Green
lfp alt,0.12,Green
dced engaging account,0.12,Green
dced party,0.12,Green
drop buff,0.12,Green
ok leashing aggro,0.10,Green
gj covering shields,0.12,Green
wtb energy,0.12,Green
diving adds,0.13,Green
yw patrolling settings,0.13,Green
nope holding voice,0.12,Green
pub tracking jungle,0.12,Green
wtt ambushing lobby,0.10,Green
wait trio,0.13,Green
imo stream,0.12,Green
aram,0.12,Green
capping jungle,0.13,Green
raiding aggro,0.12,Green
vgg trading alt,0.10,Green
sniping meter,0.10,Green
aoe mic,0.10,Green
tilt shields,0.12,Green
clear ganking binds,0.13,Green
afk healing stats,0.13,Green
farming extract,0.10,Green
afk stream,0.12,Green
done spectating route,0.12,Green
smh questing account,0.10,Green
fr vaulting mid,0.12,Green
oof focusing bridge,0.12,Green
escaping lane,0.10,Green
reloading spawn,0.10,Green
wb stacking creeps,0.13,Green
mood bot,0.13,Green
gn vaulting binds,0.12,Green
facts payload,0.12,Green
hype surrendering deaths,0.10,Green
jk sieging creeps,0.13,Green
planting deaths,0.10,Green
clear trio,0.13,Green
throwing cooldowns,0.10,Green
selling match,0.10,Green
cap radar,0.13,Green
valid need mana,0.12,Green
sweeping route,0.12,Green
ngl ambushing point,0.12,Green
ofc rushing account,0.13,Green
leashing tunnel,0.12,Green
sure radar,0.12,Green
omg,0.12,Green
rip contesting energy,0.12,Green
patrolling sentry,0.10,Green
aoe warding pit,0.10,Green
vaulting backpack,0.13,Green
yolo core,0.12,Green
peeking core,0.13,Green
afk farming jungle,0.10,Green
dude saving heals,0.12,Green
omw checking alt,0.10,Green
nice meter,0.12,Green
rofl ambushing nerf,0.12,Green
omw swapping wall,0.12,Green
draft baiting tunnel,0.12,Green
dced nerf,0.10,Green
og creeps,0.10,Green
backdooring base,0.13,Green
idc extract,0.13,Green
scouting sentry,0.13,Green
sec sliding shields,0.12,Green
ff,0.13,Green
ama capping discord,0.12,Green
dced rushing squad,0.13,Green
soon backdooring cache,0.12,Green
gl scouting kills,0.13,Green
nice resetting tank,0.10,Green
cya harassing squad,0.12,Green
bet scouting smurf,0.13,Green
nvm engaging carry,0.13,Green
iirc carrying match,0.12,Green
gn covering crate,0.12,Green
eta cooldowns,0.10,Green
diff health,0.10,Green
diff resetting tank,0.12,Green
aram crouching squad,0.13,Green
hf raiding fountain,0.13,Green
tracking backpack,0.13,Green
bbs looting angle,0.10,Green
wp binds,0.13,Green
pub radar,0.12,Green
wdym peeking nerf,0.13,Green
sieging sentry,0.13,Green
og leaving scoreboard,0.12,Green
ty anchoring shields,0.12,Green
engaging adds,0.10,Green
here mic,0.10,Green
dced loot,0.13,Green
focusing match,0.12,Green
sec assaulting health,0.13,Green
ez squad,0.13,Green
oof chasing round,0.13,Green
idk grinding choke,0.12,Green
pulling xp,0.12,Green
np rushing stats,0.13,Green
dude tapping throne,0.12,Green
cya escaping voice,0.12,Green
bg push adds,0.10,Green
tbf selling backpack,0.13,Green
brb selling stamina,0.10,Green
stomp reloading barracks,0.13,Green
aiming match,0.12,Green
afk warding bridge,0.10,Green
rip throwing minimap,0.13,Green
stomp staggering energy,0.12,Green
gm defusing perimeter,0.13,Green
facts disengaging lane,0.13,Green
sure ambushing loot,0.10,Green
yw drop xp,0.10,Green
omw zoning choke,0.10,Green
smurfing minions,0.12,Green
planting ping,0.12,Green
iirc,0.13,Green
streaming payload,0.13,Green
rotating tower,0.12,Green
cc protecting point,0.10,Green
nt ulting gold,0.10,Green
peeling deaths,0.10,Green
aram defusing deaths,0.10,Green
flanking stream,0.13,Green
rez anchoring ult,0.12,Green
customs sprinting top,0.12,Green
goat spectating queue,0.10,Green
ggs spawning nerf,0.12,Green
kek reporting squad,0.12,Green
rip poking tunnel,0.12,Green
standby ganking crate,0.10,Green
lul swapping settings,0.13,Green
w angle,0.13,Green
sus aiming dps,0.13,Green
mia,0.10,Green
w reviving party,0.10,Green
resetting mats,0.12,Green
ready scoreboard,0.13,Green
inhouse sniping meter,0.10,Green
clear planting comms,0.13,Green
kek chasing scoreboard,0.13,Green
sliding lag,0.12,Green
ranked kiting mats,0.13,Green
dc selling mid,0.10,Green
lmao defusing mid,0.13,Green
selling inventory,0.10,Green
freezing stats,0.12,Green
gn planting assists,0.13,Green
jk point,0.10,Green
ready leashing point,0.10,Green
wb,0.13,Green
stacking xp,0.10,Green
ama queueing aggro,0.12,Green
glhf base,0.13,Green
ig warding kills,0.13,Green
nice countering crystal,0.12,Green
tilt camping tunnel,0.12,Green
heard anchoring corner,0.13,Green
copy tank,0.10,Green
mood backdooring vault,0.12,Green
sus staggering smurf,0.10,Green
defend buff,0.12,Green
freezing aggro,0.13,Green
idk ambushing discord,0.12,Green
omw saving base,0.10,Green
aiming site,0.13,Green
pve patrolling route,0.10,Green
ez mid,0.10,Green
ty sniping mid,0.12,Green
lmao dueling ping,0.13,Green
rip need loadout,0.10,Green
customs defend route,0.13,Green
smurfing map,0.13,Green
yolo countering fps,0.12,Green
lfp loadout,0.10,Green
assaulting mid,0.13,Green
pvp fps,0.13,Green
sprinting energy,0.12,Green
standby escaping cooldowns,0.10,Green
cya loot,0.13,Green
carrying meter,0.12,Green
gtg laning pit,0.10,Green
oom minions,0.12,Green
op warding nexus,0.13,Green
sweeping site,0.12,Green
facts,0.13,Green
gm questing match,0.12,Green
jk vaulting comms,0.13,Green
lol warping duo,0.12,Green
imo peeking energy,0.13,Green
gz bombsite,0.13,Green
gz pinging corner,0.13,Green
bro scouting angle,0.12,Green
eta reporting binds,0.10,Green
wp farming respawn,0.10,Green
pve extract,0.10,Green
wp need carry,0.13,Green
inhouse lagging squad,0.12,Green
leaving sentry,0.13,Green
l leaving radar,0.12,Green
bruh alt,0.12,Green
aiming mid,0.13,Green
casual cooldowns,0.13,Green
lfp pulling lag,0.10,Green
wya ult,0.10,Green
wp laning point,0.13,Green
wts trio,0.10,Green
oof dueling armor,0.13,Green
patrolling perimeter,0.12,Green
facts tank,0.10,Green
glhf camping lag,0.12,Green
questing trio,0.10,Green
trading smurf,0.10,Green
sus fountain,0.12,Green
meh spectating mic,0.10,Green
draft looting energy,0.10,Green
protecting ammo,0.12,Green
heard escaping point,0.10,Green
flanking kills,0.10,Green
boosting shop,0.12,Green
healing deaths,0.12,Green
based assaulting ammo,0.13,Green
imho surrendering bridge,0.12,Green
nice dodging ping,0.12,Green
ok sprinting choke,0.13,Green
laning minimap,0.13,Green
sus mic,0.10,Green
sniping creeps,0.10,Green
idk rotating core,0.13,Green
oom carrying stream,0.13,Green
capping shop,0.12,Green
fwiw binds,0.10,Green
oom crafting bridge,0.13,Green
tmr tapping barracks,0.10,Green
laning xp,0.12,Green
valid armor,0.10,Green
tourney crashing angle,0.12,Green
obv freezing heals,0.13,Green
mood baiting ping,0.12,Green
vgg chokepoint,0.10,Green
queueing tower,0.13,Green
lmfao disengaging clan,0.13,Green
cc binds,0.10,Green
noted match,0.10,Green
nah tapping boss,0.12,Green
ok grinding tower,0.13,Green
harassing rank,0.10,Green
wya peeling voice,0.12,Green
iirc tapping cache,0.12,Green
hf sweeping discord,0.13,Green
lmfao lagging gold,0.10,Green
k adds,0.12,Green
ty dodging lag,0.10,Green
irl voice,0.12,Green
gn pit,0.10,Green
farming shields,0.13,Green
lfp armor,0.13,Green
vgg backing deaths,0.12,Green
facts energy,0.10,Green
kk freezing pit,0.12,Green
camping smurf,0.12,Green
k cart,0.12,Green
rip reviving meter,0.10,Green
goat,0.12,Green
diff support,0.12,Green
np mats,0.12,Green
lfp xp,0.12,Green
spraying trio,0.10,Green
stomp patrolling extract,0.12,Green
close questing respawn,0.13,Green
hype scouting nerf,0.10,Green
ofc flank,0.10,Green
oof leaving ammo,0.10,Green
lmfao swapping chest,0.13,Green
lmfao smurfing xp,0.10,Green
sec dodging crystal,0.10,Green
ambushing tank,0.13,Green
tracking loadout,0.12,Green
close reviving comms,0.12,Green
league kiting core,0.10,Green
bbs covering corner,0.10,Green
nice,0.13,Green
ready nerf,0.12,Green
bro farming health,0.12,Green
wtt focusing lobby,0.10,Green
og ulting guild,0.10,Green
pub settings,0.12,Green
splitpushing party,0.13,Green
w equipping account,0.12,Green
contesting crystal,0.13,Green
spraying crystal,0.12,Green
sliding health,0.10,Green
healing shop,0.12,Green
kiting main,0.13,Green
nah backpack,0.13,Green
nice ambushing base,0.10,Green
casual vaulting creeps,0.10,Green
rip comms,0.10,Green
crafting minimap,0.10,Green
oof lobby,0.12,Green
omw duo,0.13,Green
peeking wall,0.12,Green
gtg pinging tunnel,0.12,Green
nvm roaming loot,0.10,Green
mmr snowballing duo,0.12,Green
gtg sliding heals,0.12,Green
here anchoring cache,0.10,Green
countering ammo,0.10,Green
noted need route,0.10,Green
meta jungling route,0.12,Green
imo scouting meter,0.12,Green
jk buying energy,0.10,Green
gn corner,0.12,Green
clear spawning map,0.10,Green
harassing mic,0.13,Green
bet sliding energy,0.10,Green
rip chasing nerf,0.13,Green
lfp,0.13,Green
eta angle,0.13,Green
sec swapping assists,0.12,Green
deadass leaving deaths,0.12,Green
defusing meter,0.12,Green
sure jungle,0.10,Green
gg rushing discord,0.12,Green
lfp tracking map,0.12,Green
nvm backdooring base,0.13,Green
np gold,0.13,Green
planting aggro,0.12,Green
afk crate,0.10,Green
hold swapping comms,0.10,Green
hf defusing core,0.13,Green
ok reloading energy,0.10,Green
facts escorting lag,0.10,Green
dm grinding fountain,0.13,Green
np clan,0.12,Green
